"Pais,""CrimenOrg"""
Albania,4.285813122
Algeria,4.613818943
Argentina,4.153169911
Armenia,5.090872025
Australia,5.646382952
Austria,5.987675018
Azerbaijan,5.475005245
Bahrain,5.81543348
Bangladesh,3.911269912
Barbados,6.006126575
Belgium,5.399205198
Benin,4.192299962
Bhutan,6.083588795
Bolivia,4.932120418
Bosnia and Herzegovina,3.923883558
Botswana,5.168790613
Brazil,3.66941659
Brunei Darussalam,5.472222328
Bulgaria,3.708789783
Burundi,3.314633118
Cabo Verde,4.491713142
Cambodia,4.392040936
Cameroon,4.283905526
Canada,5.420221116
Chad,3.136634783
Chile,5.387800365
China,4.709174462
Colombia,2.869266573
Costa Rica,4.98876707
Cote d'Ivoire,3.186516942
Croatia,5.108815679
Cyprus,5.050303261
Czech Republic,5.671596506
Democratic Republic of Congo,4.33684206
Denmark,5.807030737
Dominican Republic,3.998544976
Ecuador,4.629176387
Egypt,3.676621754
El Salvador,1.890472632
Estonia,6.26439684
Ethiopia,4.286715443
Finland,6.748407685
France,5.13322503
Gabon,4.903667041
Gambia,5.516779001
Georgia,5.770297392
Germany,5.026594695
Ghana,4.575000143
Greece,5.251247199
Guatemala,2.643284961
Honduras,2.504364207
Hong Kong SAR, China,6.013506097
Hungary,4.612140083
Iceland,6.547647743
India,4.27147473
Indonesia,4.082587494
Iran,4.32043517
Ireland,5.808974847
Israel,5.07476159
Italy,3.47058589
Jamaica,2.643021088
Japan,5.360422876
Jordan,5.311872826
Kazakhstan,5.169991884
Kenya,3.296804108
Kuwait,5.620447965
Kyrgyz Republic,3.74365164
Laos,4.951479236
Latvia,5.750974312
Lebanon,4.155342641
Lesotho,6.365243518
Liberia,4.258406288
Lithuania,5.444711745
Luxembourg,6.137855845
Macedonia,4.272368234
Madagascar,3.811890791
Malawi,4.53663552
Malaysia,5.06795435
Mali,3.907195471
Malta,5.697735628
Mauritania,3.10451472
Mauritius,5.836362565
Mexico,2.551021448
Moldova,4.3108959
Mongolia,5.433881175
Montenegro,4.222610697
Morocco,5.663893145
Mozambique,3.605672544
Namibia,5.064154152
Nepal,4.305228932
Netherlands,5.840013798
New Zealand,6.216518991
Nicaragua,5.678571542
Nigeria,3.999337298
Norway,6.61059325
Oman,6.57135535
Pakistan,3.083358916
Panama,5.210458873
Paraguay,4.217886602
Peru,3.026274756
Philippines,4.329193212
Poland,5.213934645
Portugal,6.200609397
Qatar,6.396888818
Romania,5.056309423
Russia,4.426803076
Rwanda,6.443600148
Saudi Arabia,6.067728166
Senegal,4.868594161
Serbia,4.120706868
Sierra Leone,4.218515504
Singapore,6.424984329
Slovak Republic,4.894065115
Slovenia,5.651010762
South Africa,4.241657537
South Korea,4.949736834
Spain,5.661423446
Sri Lanka,5.018181682
Sweden,6.200504433
Switzerland,6.055672833
Tajikistan,5.008410598
Tanzania,4.934228461
Thailand,4.165259676
Trinidad and Tobago,3.792111495
Tunisia,4.377600979
Turkey,4.830023318
Uganda,4.076417199
Ukraine,3.334620267
United Arab Emirates,6.556076011
United Kingdom,5.637743528
United States,4.948105866
Uruguay,5.568153165
Venezuela,2.383004724
Vietnam,4.872595276
Yemen,3.209751642
Zambia,5.035674115
Zimbabwe,5.471333361
